operator_address,delegator_shares
fxvaloper1qjz9334grynx8lg6ae9vj2fnktgj7u0qvq3szl,9164138.558532016
fxvaloper1qcpxytptp0rfawxhgtm8z69y65g3g7d247d3wv,5526721.39711809
fxvaloper1p2le22wf9mr3h7j9qgseqtvf89ek2z0tmsdhrj,328847.5408856585
fxvaloper1pvv04yexryyxsraalwcephkavtwsadzh5yatru,8509730.273785768
fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,33.669726946806016
fxvaloper1pa4mt67gk67l3ksgwatm56vfjze7y922j2p2q5,1918118.0059491103
fxvaloper1zn0p7rqp2s702r4aua98gdtlwp6gza904h2dls,7151240.845088406
fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,160.80721201851324
fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,8086370.390978089
fxvaloper1r4f58l7x5eyn82e36tetc69fd9xf65x5e3k34g,8864491.35554008
fxvaloper1yqz7fm3els5we5cq4h6ug3yywm7sfpl0jm2pxh,6704222.240612147
fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,3201279.160381267
fxvaloper1yc0v6at49lc9n8rvvcw86rgf2cgc26jy4ckzkj,9551765.882665228
fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,10645831.165710615
fxvaloper19g2087ksund76mv3vt598pd6p563f856wqldkg,5313228.2442748025
fxvaloper19fyfq60lyhv8nlanukfmrg5lp66s8q20vx3jj5,2970358.692869295
fxvaloper194wzf8rxucjt3hmesv6ccf5z5s8ss4h2rdrmr0,9993765.811253393
fxvaloper1xrzyg8w0ccm07z80cm5zxkcclfylcujneaxtuy,10133608.741637804
fxvaloper18p4q7fzj76x2s4p3upzkzxvqsyecfz2yx2y4x9,2654777.5471445424
fxvaloper18xj9zy4wx96r73kqfqtm95jtpxdrw7uuxht457,136.8509284199619
fxvaloper1886ndwvun7gs2cqqe6k5vg9uddmvqgsz2vvsn8,3864293.891852144
fxvaloper1fxhwgkxphr6adkp84ka9cddqk8l8axr4j4egdl,9697342.776736377
fxvaloper1fxlpxnlrgquwaes5wrt5awdaymv5wpntfgsct8,9480454.925557047
fxvaloper1fvrkqzf795p4hh36hwy8rq57ywv5kwyxjax8cf,10323278.226676617
fxvaloper1290uryg96klfsdn3usktwcy5t3qxh8eclsmtqy,6384162.478869927
fxvaloper12dzp2wydkc8rtjeejehsck8kwmrxz7tk3t8h6s,7580577.926428006
fxvaloper126pplyfsrshzvjutslee8369uhc3hvmxml8adf,5070153.181968982
fxvaloper1t28sjqjfg0zs9wuzpyu3m59c2g4jh6q6nck2w6,3620761.1609923434
fxvaloper1t569mgfscvmzrrrwqkzc2g3g2lxffpvh2s3pv8,6750925.914687579
fxvaloper1drrh5nhcn40x827j8rgx9kg9f5nftut63hnz2s,5029206.218106416
fxvaloper1dlm4kp90axktn7ywg68ueaa4uyjddnnxjxkwk8,111.50835066513112
fxvaloper10vazcv8mfhy7lm5fuep82esxwcx70dwttsx2ez,1095970.624248018
fxvaloper1srkazumnkle6uzmdvqq68df9gglylp3pkhuwna,12666518.431146685
fxvaloper1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwqdtfq8x,3421700.106725997
fxvaloper1359ld4urxm0807wcmyth9dkmsw2pwznjeh26pt,8227875.718713923
fxvaloper1jcwagrc7gxpsr3xhvtvwek4kyx3m7q858jxqec,2576507.600744899
fxvaloper1nammyssvfumll85kx6fwwje3qy3pkpvkw35p89,4737002.522564073
fxvaloper14y39e3ujz2m0y2we8tqjwppmj5j4vh80hyafz7,9099163.152706737
fxvaloper1ke3gmlz77w700w65qyhtc3y3ahtwupjk3szeph,11192983.510156062
fxvaloper1h88fa2my5ns6ydpvzdjhtmjw4smz2zzd4eg7sv,4607837.73853987
fxvaloper1hnavkdy0ep629tlwt32x82qsssx9yyvp0s0wtt,120.64899700994361
fxvaloper1hl5s5tycshsklqyv88ednwmr3hc90wmqxh23c2,113.26562142846846
fxvaloper1c0gnd02hwatfukgcux5f3hvhutcfj9kdvqrmuj,4100175.1673960066
fxvaloper1c4glwxgvs5vjx9j2w4ef7r4480cfs2dkv7h8u2,2481893.9395727967
fxvaloper1evpmc2je2mmvad3pukyre0xw37y0cdr5pqptke,3484786.8893987914
fxvaloper1engnd3l9gg67gggr7n4wq7c32zavd9sq4faxua,2454258.0850980897
fxvaloper16evwmqjz8gd2wwl3qu83a3f3mlkp4yelqew850,7234150.211162657
fxvaloper1ms606vz2zrxw7752y5ae8z4zyp52ajjacv9qyd,11758455.213337671
fxvaloper1maactzfltlrr304dsnm8fffjtupcs4ehjedchy,8505034.12062793
fxvaloper1u2736s9hm43ds6xxje0d2qhhy2m56akaf8up7t,7952250.144034348
fxvaloper1umj9xqdv7q2quvtks8j66mwrj9wcfqp4486qgn,5145290.112574233
fxvaloper1as2rwvnayy30pzjy7aw35dcsja6g98nd87r8vp,9055576.121464554
fxvaloper1astdkdrxlgylehy0jpqv2e357kl6pq0ccq4u73,6868593.143362301
fxvaloper1a73plz6w7fc8ydlwxddanc7a239kk45jnl9xwj,17755829.09475209
fxvaloper1780uflqpght7etzq8auv0ram6rwy3wd69vdxc9,5334858.532547803
fxvaloper17k6kc0mqnnccqqgkm3d2nzp0jqxpjutxhqyay6,10678604.299421806
fxvaloper1lgzkn292ap2a4t8dvsq0cf5qfkkuplcnztcnvp,5352411.023004729
