,address,wallet_address,moniker,oustanding_commisison,outstanding_rewards,withdrawn_commission,withdrawn_rewards,accumulated_commission,accumulated_rewards,total
0,fxvaloper1dlm4kp90axktn7ywg68ueaa4uyjddnnxjxkwk8,fx1dlm4kp90axktn7ywg68ueaa4uyjddnnx6ht3g8,Sydney,22.029170130320644,10.465062347839535,0.0,0.0,22.029170130320644,10.465062347839535,32.49423247816018
1,fxvaloper1hnavkdy0ep629tlwt32x82qsssx9yyvp0s0wtt,fx1hnavkdy0ep629tlwt32x82qsssx9yyvp8pj34t,Porto,0.15474384066238658,5.753663502645826,0.0,0.0,0.15474384066238658,5.753663502645826,5.9084073433082125
2,fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,fx1znc46yl5g39yxt5nc8rls7lqz6f9tpu5n57rc9,Kigali,0.7458589849094054,9.786231858957803,0.0,0.0,0.7458589849094054,9.786231858957803,10.53209084386721
3,fxvaloper18xj9zy4wx96r73kqfqtm95jtpxdrw7uuxht457,fx18xj9zy4wx96r73kqfqtm95jtpxdrw7uuwxk227,Lagos,0.7302600654056374,9.331720671139617,0.0,0.0,0.7302600654056374,9.331720671139617,10.061980736545255
4,fxvaloper1hl5s5tycshsklqyv88ednwmr3hc90wmqxh23c2,fx1hl5s5tycshsklqyv88ednwmr3hc90wmqwxhwx2,SanSalvador,0.6618088482693159,7.943059797882871,0.0,0.0,0.6618088482693159,7.943059797882871,8.604868646152187
5,fxvaloper194wzf8rxucjt3hmesv6ccf5z5s8ss4h2rdrmr0,fx194wzf8rxucjt3hmesv6ccf5z5s8ss4h2tu7ya0,Asosiasi Blockchain Indonesia,6337.483855338866,11.21213495061555,0.0,0.0,6337.483855338866,11.21213495061555,6348.695990289481
6,fxvaloper1fvrkqzf795p4hh36hwy8rq57ywv5kwyxjax8cf,fx1fvrkqzf795p4hh36hwy8rq57ywv5kwyx6vmcxf,Blockchain Collaborative Consortium,8490.570832399153,11.360557114038206,0.0,0.0,8490.570832399153,11.360557114038206,8501.93138951319
7,fxvaloper1as2rwvnayy30pzjy7aw35dcsja6g98nd87r8vp,fx1as2rwvnayy30pzjy7aw35dcsja6g98nd007cjp,European University Cyprus,6741.975246940601,11.343423613487216,0.0,0.0,6741.975246940601,11.343423613487216,6753.318670554088
8,fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,fx1pcr9h9evn05rpussq9wahmerqjh380mef2dgdp,wolfpack,9.075576913372826e-06,0.0,63.66730417573237,0.0006472126660212001,63.66731325130928,0.0006472126660212001,63.667960463975305
9,fxvaloper18fgf79wgudvg2xz9kdqa2u6z88qmqpvw28eym5,fx18fgf79wgudvg2xz9kdqa2u6z88qmqpvwzkym95,Alif,59.91902595676305,0.0,0.0,0.0,59.91902595676305,0.0,59.91902595676305
10,fxvaloper1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwqdtfq8x,fx1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwq965lex,EA31337,165.232791445288,20.573095387624157,538.5960763598918,43.679271772130846,703.8288678051797,64.25236715975501,768.0812349649348
11,fxvaloper1c0gnd02hwatfukgcux5f3hvhutcfj9kdvqrmuj,fx1c0gnd02hwatfukgcux5f3hvhutcfj9kdy37yzj,Cogni,400.33346350966053,3.407779267194763,1212.7656050068417,7.239659877214539,1613.0990685165023,10.6474391444093,1623.7465076609114
12,fxvaloper1nammyssvfumll85kx6fwwje3qy3pkpvkw35p89,fx1nammyssvfumll85kx6fwwje3qy3pkpvkxqf7e9,Nammy,370.1073083426891,3.0661609165914587,1406.3364785594479,6.513845229576005,1776.443786902137,9.580006146167463,1786.0237930483045
13,fxvaloper1lgzkn292ap2a4t8dvsq0cf5qfkkuplcnztcnvp,fx1lgzkn292ap2a4t8dvsq0cf5qfkkuplcn269vjp,Allif,1239.4648355397755,200.05147738161,29.52323222496295,604.6329782319427,1268.9880677647384,804.6844556135527,2073.672523378291
14,fxvaloper1umj9xqdv7q2quvtks8j66mwrj9wcfqp4486qgn,fx1umj9xqdv7q2quvtks8j66mwrj9wcfqp4ak8lkn,ClaudioxBarros,148.29939221492063,20.72528184535486,3175.1587887517935,49.92678491278619,3323.4581809667143,70.65206675814105,3394.1102477248555
15,fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,fx1z67rkadwrp2nf4zwxpktpqnw969plely6rfzpt,FrenchXCore-1,2136.4858078556063,489.9731335548855,1937.346655886447,517.7345583951401,4073.8324637420533,1007.7076919500256,5081.540155692079
16,fxvaloper1t28sjqjfg0zs9wuzpyu3m59c2g4jh6q6nck2w6,fx1t28sjqjfg0zs9wuzpyu3m59c2g4jh6q6mft4s6,AquillaX,230.92160184884685,1050.5391112732916,324.4957349477138,599.2551414934619,555.4173367965607,1649.7942527667535,2205.211589563314
17,fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,fx19psvqem8jafc5ydg4cnh0t2m04ngw9gfg8y88u,Blindgotchi,5152.695101434051,10.680865893152038,0.0,0.0,5152.695101434051,10.680865893152038,5163.375967327203
18,fxvaloper1jcwagrc7gxpsr3xhvtvwek4kyx3m7q858jxqec,fx1jcwagrc7gxpsr3xhvtvwek4kyx3m7q850rml8c,Rock,462.63977396363066,13.835166163171088,0.0,0.0,462.63977396363066,13.835166163171088,476.47494012680176
19,fxvaloper1c4glwxgvs5vjx9j2w4ef7r4480cfs2dkv7h8u2,fx1c4glwxgvs5vjx9j2w4ef7r4480cfs2dky02cz2,Scissors,422.6992723422072,21.87607204625885,0.0,0.0,422.6992723422072,21.87607204625885,444.5753443884661
20,fxvaloper1h88fa2my5ns6ydpvzdjhtmjw4smz2zzd4eg7sv,fx1h88fa2my5ns6ydpvzdjhtmjw4smz2zzdag4pwv,Paper,657.6310781699099,38.0518128293505,0.0,0.0,657.6310781699099,38.0518128293505,695.6828909992604
21,fxvaloper19g2087ksund76mv3vt598pd6p563f856wqldkg,fx19g2087ksund76mv3vt598pd6p563f856x3zjgg,FxWorld,313.85888350345215,128.7756678134587,13476.756522234571,6640.43843484376,13790.615405738023,6769.214102657218,20559.82950839524
22,fxvaloper1780uflqpght7etzq8auv0ram6rwy3wd69vdxc9,fx1780uflqpght7etzq8auv0ram6rwy3wd6dasex9,Fox,130.63427580639413,4.310663100194228,5935.5313934248725,87.06886382741803,6066.165669231266,91.37952692761226,6157.545196158879
23,fxvaloper1drrh5nhcn40x827j8rgx9kg9f5nftut63hnz2s,fx1drrh5nhcn40x827j8rgx9kg9f5nftut6exwa5s,NOBI,118.53238627517064,0.753047787044116,2597.8967383792547,21.14015955373998,2716.4291246544253,21.893207340784098,2738.3223319952094
24,fxvaloper126pplyfsrshzvjutslee8369uhc3hvmxml8adf,fx126pplyfsrshzvjutslee8369uhc3hvmxnw6znf,212th FX Battalion,283.35753609067604,0.6117773149351219,5904.053248131164,19.79654485096137,6187.41078422184,20.408322165896493,6207.819106387737
25,fxvaloper1evpmc2je2mmvad3pukyre0xw37y0cdr5pqptke,fx1evpmc2je2mmvad3pukyre0xw37y0cdr5f3u5ge,paf_yyc_ca,1462.1701137473665,34.03306519523983,2479.093571022463,0.0012359481562711542,3941.2636847698295,34.0343011433961,3975.2979859132256
26,fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,fx1ycy79ct7anmz5gmck7jann2c3lhwm8ztn9mwxh,SmallFort,1431.9989774128906,6.105812917679334,153.77758071586726,0.9345197925339606,1585.7765581287579,7.040332710213294,1592.8168908389712
27,fxvaloper1886ndwvun7gs2cqqe6k5vg9uddmvqgsz2vvsn8,fx1886ndwvun7gs2cqqe6k5vg9uddmvqgszza30d8,Scale Moment Group,555.0649894806853,172.37961645276198,0.0,0.0,555.0649894806853,172.37961645276198,727.4446059334473
28,fxvaloper1t569mgfscvmzrrrwqkzc2g3g2lxffpvh2s3pv8,fx1t569mgfscvmzrrrwqkzc2g3g2lxffpvhzpv7j8,Superbit123,4140.487494431484,14.259375535022977,0.0,0.0,4140.487494431484,14.259375535022977,4154.746869966507
29,fxvaloper12dzp2wydkc8rtjeejehsck8kwmrxz7tk3t8h6s,fx12dzp2wydkc8rtjeejehsck8kwmrxz7tke66gys,DAOverse,434.5926109276431,7.389683054165366,1661.3319853174821,22.335578512170038,2095.924596245125,29.725261566335405,2125.6498578114606
