operator_address,delegator_shares
fxvaloper1qjz9334grynx8lg6ae9vj2fnktgj7u0qvq3szl,9382287.833575288
fxvaloper1qcpxytptp0rfawxhgtm8z69y65g3g7d247d3wv,5526491.203727774
fxvaloper1p2le22wf9mr3h7j9qgseqtvf89ek2z0tmsdhrj,201.0
fxvaloper1pvv04yexryyxsraalwcephkavtwsadzh5yatru,8648399.703323543
fxvaloper1pcr9h9evn05rpussq9wahmerqjh380mepmshnp,1.0
fxvaloper1pa4mt67gk67l3ksgwatm56vfjze7y922j2p2q5,222.0
fxvaloper1zn0p7rqp2s702r4aua98gdtlwp6gza904h2dls,5623465.430684383
fxvaloper1znc46yl5g39yxt5nc8rls7lqz6f9tpu5m9rux9,100.0
fxvaloper1z67rkadwrp2nf4zwxpktpqnw969plelyjj5alt,7195373.562686133
fxvaloper1r4f58l7x5eyn82e36tetc69fd9xf65x5e3k34g,5000655.112014606
fxvaloper1yqz7fm3els5we5cq4h6ug3yywm7sfpl0jm2pxh,6886861.949004619
fxvaloper1ycy79ct7anmz5gmck7jann2c3lhwm8ztm5x3ch,2758033.507243129
fxvaloper1yc0v6at49lc9n8rvvcw86rgf2cgc26jy4ckzkj,9551505.17081727
fxvaloper19psvqem8jafc5ydg4cnh0t2m04ngw9gfqkeceu,9735424.49182998
fxvaloper19g2087ksund76mv3vt598pd6p563f856wqldkg,6304217.098934794
fxvaloper19fyfq60lyhv8nlanukfmrg5lp66s8q20vx3jj5,1990468.9188226026
fxvaloper194wzf8rxucjt3hmesv6ccf5z5s8ss4h2rdrmr0,9978945.026066642
fxvaloper1xrzyg8w0ccm07z80cm5zxkcclfylcujneaxtuy,10099792.468842067
fxvaloper18p4q7fzj76x2s4p3upzkzxvqsyecfz2yx2y4x9,7128819.836970125
fxvaloper18xj9zy4wx96r73kqfqtm95jtpxdrw7uuxht457,100.5
fxvaloper1886ndwvun7gs2cqqe6k5vg9uddmvqgsz2vvsn8,3511910.201358232
fxvaloper1fxhwgkxphr6adkp84ka9cddqk8l8axr4j4egdl,9034106.799021002
fxvaloper1fxlpxnlrgquwaes5wrt5awdaymv5wpntfgsct8,9337192.549285738
fxvaloper1fvrkqzf795p4hh36hwy8rq57ywv5kwyxjax8cf,11366785.247678729
fxvaloper1290uryg96klfsdn3usktwcy5t3qxh8eclsmtqy,6383953.463093959
fxvaloper12dzp2wydkc8rtjeejehsck8kwmrxz7tk3t8h6s,7506324.077818674
fxvaloper126pplyfsrshzvjutslee8369uhc3hvmxml8adf,4818533.843063358
fxvaloper1t28sjqjfg0zs9wuzpyu3m59c2g4jh6q6nck2w6,3586382.2232095427
fxvaloper1t569mgfscvmzrrrwqkzc2g3g2lxffpvh2s3pv8,6697031.703284491
fxvaloper1drrh5nhcn40x827j8rgx9kg9f5nftut63hnz2s,4776148.38486604
fxvaloper1dlm4kp90axktn7ywg68ueaa4uyjddnnxjxkwk8,5271.386782367981
fxvaloper10vazcv8mfhy7lm5fuep82esxwcx70dwttsx2ez,100.0
fxvaloper1srkazumnkle6uzmdvqq68df9gglylp3pkhuwna,12298295.398873162
fxvaloper1337eaaxxqd7l3jw6hwsrh0rvcjgfzgwqdtfq8x,2879390.442679484
fxvaloper1359ld4urxm0807wcmyth9dkmsw2pwznjeh26pt,7983434.338584317
fxvaloper1jcwagrc7gxpsr3xhvtvwek4kyx3m7q858jxqec,2364448.2301559923
fxvaloper1nammyssvfumll85kx6fwwje3qy3pkpvkw35p89,4623716.584638794
fxvaloper14y39e3ujz2m0y2we8tqjwppmj5j4vh80hyafz7,9076889.61243144
fxvaloper1ke3gmlz77w700w65qyhtc3y3ahtwupjk3szeph,11156849.441530531
fxvaloper1h88fa2my5ns6ydpvzdjhtmjw4smz2zzd4eg7sv,3690720.5483527896
fxvaloper1hnavkdy0ep629tlwt32x82qsssx9yyvp0s0wtt,100.0
fxvaloper1hl5s5tycshsklqyv88ednwmr3hc90wmqxh23c2,101.0
fxvaloper1c0gnd02hwatfukgcux5f3hvhutcfj9kdvqrmuj,4091564.4474008493
fxvaloper1c4glwxgvs5vjx9j2w4ef7r4480cfs2dkv7h8u2,2456391.013911469
fxvaloper1evpmc2je2mmvad3pukyre0xw37y0cdr5pqptke,3463533.5007464555
fxvaloper1engnd3l9gg67gggr7n4wq7c32zavd9sq4faxua,6894406.92344271
fxvaloper16evwmqjz8gd2wwl3qu83a3f3mlkp4yelqew850,7903280.850116135
fxvaloper1ms606vz2zrxw7752y5ae8z4zyp52ajjacv9qyd,11755450.020777887
fxvaloper1maactzfltlrr304dsnm8fffjtupcs4ehjedchy,8421314.968312435
fxvaloper1u2736s9hm43ds6xxje0d2qhhy2m56akaf8up7t,7935673.363056974
fxvaloper1umj9xqdv7q2quvtks8j66mwrj9wcfqp4486qgn,5175861.340208494
fxvaloper1as2rwvnayy30pzjy7aw35dcsja6g98nd87r8vp,8977976.79847323
fxvaloper1astdkdrxlgylehy0jpqv2e357kl6pq0ccq4u73,4194073.8135110536
fxvaloper1a73plz6w7fc8ydlwxddanc7a239kk45jnl9xwj,17315061.257573124
fxvaloper1780uflqpght7etzq8auv0ram6rwy3wd69vdxc9,5329366.685788187
fxvaloper17k6kc0mqnnccqqgkm3d2nzp0jqxpjutxhqyay6,10602845.322631776
fxvaloper1lgzkn292ap2a4t8dvsq0cf5qfkkuplcnztcnvp,6226893.956070362
